code,level1,level2,type,category,name
6520685900,6500000000,6520600000,,,ОДРАДОКАМ'ЯНСЬКА/С.ОДРАДОКАМ'ЯНКА
6520685901,6500000000,6520600000,НП,С,ОДРАДОКАМ'ЯНКА
6520685902,6500000000,6520600000,НП,С,МИКОЛАЇВКА
6520686700,6500000000,6520600000,,,СТЕПНЯНСЬКА/С.СТЕПНЕ
6520686701,6500000000,6520600000,НП,С,СТЕПНЕ
6520686702,6500000000,6520600000,НП,С,КОШАРА
6520687100,6500000000,6520600000,,,ТЯГИНСЬКА/С.ТЯГИНКА
6520687101,6500000000,6520600000,НП,С,ТЯГИНКА
6520688400,6500000000,6520600000,,,ШЛЯХІВСЬКА/С-ЩЕ ШЛЯХОВЕ
6520688401,6500000000,6520600000,НП,Щ,ШЛЯХОВЕ
6520688402,6500000000,6520600000,НП,С,НОВОСІЛКА
6520688403,6500000000,6520600000,НП,С,ПЕРШОТРАВНЕВЕ
6520688404,6500000000,6520600000,НП,С,РАКІВКА
6520688405,6500000000,6520600000,НП,С,ТАРАСА ШЕВЧЕНКА
6520688406,6500000000,6520600000,НП,С,ТОМАРИНЕ
6520688407,6500000000,6520600000,НП,С,УРОЖАЙНЕ
6520900000,6500000000,6520900000,Р,,ВЕЛИКООЛЕКСАНДРІВСЬКИЙ РАЙОН/СМТ ВЕЛИКА ОЛЕКСАНДРІВКА
6520955000,6500000000,6520900000,,,СЕЛИЩА МІСЬКОГО ТИПУ ВЕЛИКООЛЕКСАНДРІВСЬКОГО Р-НУ
6520955100,6500000000,6520900000,НП,Т,ВЕЛИКА ОЛЕКСАНДРІВКА
6520955102,6500000000,6520900000,НП,С,ТВЕРДОМЕДОВЕ
6520955400,6500000000,6520900000,НП,Т,БІЛА КРИНИЦЯ
6520955401,6500000000,6520900000,НП,С,БІЛОУСОВЕ
6520955403,6500000000,6520900000,НП,С,ПЕРВОМАЙСЬКЕ
6520955700,6500000000,6520900000,НП,Т,КАЛИНІВСЬКЕ
6520955701,6500000000,6520900000,НП,С,ЗЕЛЕНИЙ ГАЙ
6520955702,6500000000,6520900000,НП,С,КРАСНОЛЮБЕЦЬК
6520955703,6500000000,6520900000,НП,С,НОВОПОЛТАВКА
6520956000,6500000000,6520900000,НП,Т,КАР'ЄРНЕ
6520980000,6500000000,6520900000,,,СІЛЬРАДИ ВЕЛИКООЛЕКСАНДРІВСЬКОГО Р-НУ
6520980300,6500000000,6520900000,,,БІЛОУСІВСЬКА/С.БІЛОУСОВЕ
6520980301,6500000000,6520900000,НП,С,БІЛОУСОВЕ
6520980305,6500000000,6520900000,НП,С,ТОКАРЕВЕ
6520980500,6500000000,6520900000,,,БЛАГОДАТІВСЬКА/С.БЛАГОДАТІВКА
6520980501,6500000000,6520900000,НП,С,БЛАГОДАТІВКА
